Week,Week,Influenza 2019,Influenza 2018,Influenza 2017,EColi 2019,EColi 2018,EColi 2017,Dengue 2019,Dengue 2018,Dengue 2017
1,1,69,57,81.0,,2.0,,24,22.0,6.0
2,2,60,79,34.0,,,,4,10.0,28.0
3,3,7,8,7.0,3.0,,3.0,14,41.0,60.0
4,4,23,4,8.0,1.0,1.0,6.0,16,54.0,76.0
5,5,22,25,56.0,2.0,2.0,1.0,23,27.0,33.0
6,6,78,72,74.0,4.0,6.0,1.0,13,6.0,1.0
7,7,9,26,,2.0,5.0,,15,20.0,
8,8,17,27,,1.0,10.0,,10,14.0,
9,9,30,19,64.0,1.0,,1.0,30,32.0,19.0
10,10,79,94,79.0,,,1.0,19,5.0,4.0
11,11,22,31,41.0,,3.0,5.0,31,8.0,25.0
12,12,18,29,81.0,2.0,5.0,8.0,31,25.0,23.0
13,13,21,49,82.0,,6.0,2.0,33,13.0,17.0
14,14,83,74,101.0,2.0,3.0,2.0,21,15.0,16.0
15,15,32,52,77.0,3.0,2.0,1.0,11,12.0,16.0
16,16,58,47,112.0,3.0,6.0,2.0,15,4.0,15.0
17,17,60,60,102.0,,3.0,5.0,24,9.0,5.0
18,18,42,57,101.0,,6.0,1.0,32,24.0,11.0
19,19,78,82,53.0,4.0,2.0,2.0,3,4.0,3.0
20,20,124,177,159.0,3.0,1.0,1.0,11,5.0,10.0
21,21,139,225,142.0,8.0,2.0,,19,2.0,13.0
22,22,118,192,101.0,3.0,4.0,3.0,13,10.0,18.0
23,23,79,80,137.0,6.0,3.0,,10,3.0,8.0
24,24,115,125,118.0,2.0,2.0,,14,3.0,9.0
25,25,177,195,155.0,2.0,2.0,1.0,13,3.0,2.0
26,26,98,192,140.0,8.0,3.0,1.0,11,3.0,21.0
27,27,58,70,114.0,2.0,,,28,3.0,9.0
28,28,51,59,141.0,3.0,4.0,4.0,6,3.0,5.0
29,29,76,117,103.0,2.0,1.0,1.0,4,1.0,3.0
30,30,104,122,91.0,2.0,1.0,1.0,12,,2.0
31,31,56,64,94.0,,2.0,2.0,19,26.0,25.0
32,32,65,73,54.0,2.0,4.0,,9,2.0,4.0
33,33,61,110,98.0,9.0,1.0,,9,2.0,6.0
34,34,65,97,78.0,2.0,3.0,3.0,3,2.0,3.0
35,35,85,71,79.0,4.0,4.0,1.0,10,12.0,18.0
36,36,62,105,115.0,,6.0,,19,8.0,8.0
37,37,54,34,57.0,2.0,,1.0,4,,11.0
38,38,61,63,54.0,6.0,3.0,1.0,3,,7.0
39,39,62,45,41.0,13.0,1.0,4.0,7,6.0,16.0
40,40,64,79,64.0,,1.0,1.0,16,5.0,21.0
41,41,58,40,29.0,5.0,3.0,,9,3.0,8.0
42,42,52,90,47.0,3.0,,3.0,3,4.0,14.0
43,43,43,71,51.0,5.0,4.0,3.0,13,3.0,4.0
44,44,43,47,65.0,4.0,3.0,1.0,12,13.0,28.0
45,45,93,113,99.0,4.0,3.0,6.0,16,4.0,21.0
46,46,30,53,44.0,4.0,3.0,3.0,10,5.0,20.0
47,47,34,58,50.0,4.0,2.0,2.0,13,4.0,19.0
48,48,33,41,29.0,1.0,2.0,3.0,10,12.0,28.0
49,49,80,97,74.0,,5.0,2.0,15,2.0,11.0
50,50,36,49,27.0,,3.0,4.0,6,4.0,20.0
51,51,31,18,25.0,4.0,5.0,5.0,3,19.0,21.0
52,52,35,22,25.0,,,2.0,14,8.0,15.0
